page_spanning_verse,page link
וּמִמַּטֵּ֨ה נַפְתָּלִ֜י אֶת־עִ֣יר ׀ מִקְלַ֣ט הָֽרֹצֵ֗חַ אֶת־קֶ֨דֶשׁ בַּגָּלִ֤יל וְאֶת־מִגְרָשֶׁ֙הָ֙ וְאֶת־חַמֹּ֥ת דֹּאר֙ וְאֶת־מִגְרָשֶׁ֔הָ וְאֶת־קַרְתָּ֖ן 'אאא' וְאֶת־מִגְרָשֶׁ֑הָ עָרִ֖ים שָׁלֹֽשׁ׃,133B
וַיָּבֹ֙אוּ֙ אֶל־גְּלִיל֣וֹת הַיַּרְדֵּ֔ן אֲשֶׁ֖ר בְּאֶ֣רֶץ כְּנָ֑עַן וַיִּבְנ֣וּ בְנֵי־רְאוּבֵ֣ן וּבְנֵי־גָ֡ד וַחֲצִ֣י שֵׁבֶט֩ 'אאא' הַֽמְנַשֶּׁ֨ה שָׁ֤ם מִזְבֵּ֙חַ֙ עַל־הַיַּרְדֵּ֔ן מִזְבֵּ֥חַ גָּד֖וֹל לְמַרְאֶֽה׃,134A
חָלִילָה֩ לָּ֨נוּ מִמֶּ֜נּוּ לִמְרֹ֣ד בַּֽיהוָ֗ה וְלָשׁ֤וּב הַיּוֹם֙ מֵאַחֲרֵ֣י יְהוָ֔ה לִבְנ֣וֹת מִזְבֵּ֔חַ לְעֹלָ֖ה לְמִנְחָ֣ה וּלְזָ֑בַח 'אאא' מִלְּבַ֗ד מִזְבַּח֙ יְהוָ֣ה אֱלֹהֵ֔ינוּ אֲשֶׁ֖ר לִפְנֵ֥י מִשְׁכָּנֽוֹ׃,134B
וְהִנֵּ֨ה אָנֹכִ֤י הוֹלֵךְ֙ הַיּ֔וֹם בְּדֶ֖רֶךְ כָּל־הָאָ֑רֶץ 'אאא' וִידַעְתֶּ֞ם בְּכָל־לְבַבְכֶ֣ם וּבְכָל־נַפְשְׁכֶ֗ם כִּ֣י לֹֽא־נָפַל֩ דָּבָ֨ר אֶחָ֜ד מִכֹּ֣ל ׀ הַדְּבָרִ֣ים הַטּוֹבִ֗ים אֲשֶׁ֨ר דִּבֶּ֜ר יְהוָ֤ה אֱלֹהֵיכֶם֙ עֲלֵיכֶ֔ם הַכֹּל֙ בָּ֣אוּ לָכֶ֔ם לֹֽא־נָפַ֥ל מִמֶּ֖נּוּ דָּבָ֥ר אֶחָֽד׃,135A
וְאִם֩ רַ֨ע בְּֽעֵינֵיכֶ֜ם לַעֲבֹ֣ד אֶת־יְהוָ֗ה בַּחֲר֨וּ לָכֶ֣ם הַיּוֹם֮ אֶת־מִ֣י תַעֲבֹדוּן֒ אִ֣ם 'אאא' אֶת־אֱלֹהִ֞ים אֲשֶׁר־עָבְד֣וּ אֲבוֹתֵיכֶ֗ם אֲשֶׁר֙ מֵעֵ֣בֶר הַנָּהָ֔ר וְאִם֙ אֶת־אֱלֹהֵ֣י הָאֱמֹרִ֔י אֲשֶׁ֥ר אַתֶּ֖ם יֹשְׁבִ֣ים בְּאַרְצָ֑ם וְאָנֹכִ֣י וּבֵיתִ֔י נַעֲבֹ֖ד אֶת־יְהוָֽה׃,135B
,136A
וַיַּרְאֵם֙ אֶת־מְב֣וֹא הָעִ֔יר וַיַּכּ֥וּ אֶת־ 'אאא' הָעִ֖יר לְפִי־חָ֑רֶב וְאֶת־הָאִ֥ישׁ וְאֶת־כָּל־מִשְׁפַּחְתּ֖וֹ שִׁלֵּֽחוּ׃,136B
וַיַּעֲשׂ֧וּ בְנֵֽי־ 'אאא' יִשְׂרָאֵ֛ל אֶת־הָרַ֖ע בְּעֵינֵ֣י יְהוָ֑ה וַיַּעַבְד֖וּ אֶת־הַבְּעָלִֽים׃,137A
וַתְּהִ֨י עָלָ֥יו רֽוּחַ־ 'אאא' יְהוָה֮ וַיִּשְׁפֹּ֣ט אֶת־יִשְׂרָאֵל֒ וַיֵּצֵא֙ לַמִּלְחָמָ֔ה וַיִּתֵּ֤ן יְהוָה֙ בְּיָד֔וֹ אֶת־כּוּשַׁ֥ן רִשְׁעָתַ֖יִם מֶ֣לֶךְ אֲרָ֑ם וַתָּ֣עָז יָד֔וֹ עַ֖ל כּוּשַׁ֥ן רִשְׁעָתָֽיִם׃,137B
וַיִּמְכְּרֵ֣ם יְהוָ֗ה בְּיַד֙ יָבִ֣ין מֶֽלֶךְ־כְּנַ֔עַן אֲשֶׁ֥ר מָלַ֖ךְ 'אאא' בְּחָצ֑וֹר וְשַׂר־צְבָאוֹ֙ סִֽיסְרָ֔א וְה֥וּא יוֹשֵׁ֖ב בַּחֲרֹ֥שֶׁת הַגּוֹיִֽם׃,138A
וְהִנֵּ֣ה בָרָק֮ רֹדֵ֣ף אֶת־סִֽיסְרָא֒ וַתֵּצֵ֤א יָעֵל֙ לִקְרָאת֔וֹ וַתֹּ֣אמֶר ל֔וֹ לֵ֣ךְ וְאַרְאֶ֔ךָּ אֶת־הָאִ֖ישׁ אֲשֶׁר־אַתָּ֣ה מְבַקֵּ֑שׁ וַיָּבֹ֣א אֵלֶ֔יהָ וְהִנֵּ֤ה סִֽיסְרָא֙ 'אאא' נֹפֵ֣ל מֵ֔ת וְהַיָּתֵ֖ד בְּרַקָּתֽוֹ׃,138B
אָ֚ז יְרַ֣ד שָׂרִ֔יד לְאַדִּירִ֖ים עָ֑ם יְהוָ֕ה 'אאא' יְרַד־לִ֖י בַּגִּבּוֹרִֽים׃,139A
בְּעַד֩ הַחַלּ֨וֹן 'אאא' נִשְׁקְפָ֧ה וַתְּיַבֵּ֛ב אֵ֥ם סִֽיסְרָ֖א בְּעַ֣ד הֽ͏ָאֶשְׁנָ֑ב מַדּ֗וּעַ בֹּשֵׁ֤שׁ רִכְבּוֹ֙ לָב֔וֹא מַדּ֣וּעַ אֶֽחֱר֔וּ פַּעֲמֵ֖י מַרְכְּבוֹתָֽיו׃,139B
וַיֹּ֨אמֶר אֵלָ֜יו 'אאא' מַלְאַ֣ךְ הָאֱלֹהִ֗ים קַ֣ח אֶת־הַבָּשָׂ֤ר וְאֶת־הַמַּצּוֹת֙ וְהַנַּח֙ אֶל־הַסֶּ֣לַע הַלָּ֔ז וְאֶת־הַמָּרַ֖ק שְׁפ֑וֹךְ וַיַּ֖עַשׂ כֵּֽן׃,140A
וַיַּשְׁכֵּ֨ם יְרֻבַּ֜עַל ה֣וּא גִדְע֗וֹן 'אאא' וְכָל־הָעָם֙ אֲשֶׁ֣ר אִתּ֔וֹ וַֽיַּחֲנ֖וּ עַל־עֵ֣ין חֲרֹ֑ד וּמַחֲנֵ֤ה מִדְיָן֙ הָיָה־ל֣וֹ מִצָּפ֔וֹן מִגִּבְעַ֥ת הַמּוֹרֶ֖ה בָּעֵֽמֶק׃,140B
וְתָקַעְתִּי֙ בַּשּׁוֹפָ֔ר אָנֹכִ֖י וְכָל־אֲשֶׁ֣ר אִתִּ֑י וּתְקַעְתֶּ֨ם בַּשּׁוֹפָר֜וֹת גַּם־אַתֶּ֗ם סְבִיבוֹת֙ כָּל־הַֽמַּחֲנֶ֔ה וַאֲמַרְתֶּ֖ם לַיהוָ֥ה 'אאא' וּלְגִדְעֽוֹן׃,141A
וַיָּ֛שָׁב גִּדְע֥וֹן בֶּן־יוֹאָ֖שׁ מִן־הַמִּלְחָמָ֑ה מִֽלְמַעֲלֵ֖ה 'אאא' הֶחָֽרֶס׃,141B
דַּבְּרוּ־נָ֞א בְּאָזְנֵ֨י כָל־בַּעֲלֵ֣י שְׁכֶם֮ מַה־טּ֣וֹב לָכֶם֒ הַמְשֹׁ֨ל בָּכֶ֜ם שִׁבְעִ֣ים אִ֗ישׁ כֹּ֚ל בְּנֵ֣י יְרֻבַּ֔עַל אִם־מְשֹׁ֥ל 'אאא' בָּכֶ֖ם אִ֣ישׁ אֶחָ֑ד וּזְכַרְתֶּ֕ם כִּֽי־עַצְמֵכֶם וּבְשַׂרְכֶ֖ם אָנִֽי׃,142A
,142B
וַיִּכְרְת֨וּ גַם־כָּל־הָעָ֜ם אִ֣ישׁ שׂוֹכֹ֗ה וַיֵּ֨לְכ֜וּ אַחֲרֵ֤י 'אאא' אֲבִימֶ֙לֶךְ֙ וַיָּשִׂ֣ימוּ עַֽל־הַצְּרִ֔יחַ וַיַּצִּ֧יתוּ עֲלֵיהֶ֛ם אֶֽת־הַצְּרִ֖יחַ בָּאֵ֑שׁ וַיָּמֻ֜תוּ גַּ֣ם כָּל־אַנְשֵׁ֧י מִֽגְדַּל־שְׁכֶ֛ם כְּאֶ֖לֶף אִ֥ישׁ וְאִשָּֽׁה׃,143A
וַיֹּאמְר֨וּ בְנֵי־יִשְׂרָאֵ֤ל אֶל־יְהוָה֙ חָטָ֔אנוּ עֲשֵׂה־אַתָּ֣ה לָ֔נוּ כְּכָל־הַטּ֖וֹב בְּעֵינֶ֑יךָ אַ֛ךְ 'אאא' הַצִּילֵ֥נוּ נָ֖א הַיּ֥וֹם הַזֶּֽה׃,143B
וַיִּשְׁלַ֤ח יִשְׂרָאֵל֙ מַלְאָכִ֔ים אֶל־סִיח֥וֹן מֶֽלֶךְ־הָאֱמֹרִ֖י מֶ֣לֶךְ חֶשְׁבּ֑וֹן וַיֹּ֤אמֶר לוֹ֙ יִשְׂרָאֵ֔ל נַעְבְּרָה־נָּ֥א בְאַרְצְךָ֖ 'אאא' עַד־מְקוֹמִֽי׃,144A
,144B
וַיֹּ֣אמֶר לִ֔י הִנָּ֥ךְ הָרָ֖ה וְיֹלַ֣דְתְּ בֵּ֑ן וְעַתָּ֞ה אַל־תִּשְׁתִּ֣י ׀ יַ֣יִן וְשֵׁכָ֗ר וְאַל־תֹּֽאכְלִי֙ כָּל־טֻמְאָ֔ה כִּֽי־נְזִ֤יר אֱלֹהִים֙ יִהְיֶ֣ה הַנַּ֔עַר מִן־ 'אאא' הַבֶּ֖טֶן עַד־י֥וֹם מוֹתֽוֹ׃,145A
וַתִּצְלַ֨ח עָלָ֜יו ר֣וּחַ יְהוָ֗ה וַֽיְשַׁסְּעֵ֙הוּ֙ כְּשַׁסַּ֣ע הַגְּדִ֔י וּמְא֖וּמָה אֵ֣ין בְּיָד֑וֹ וְלֹ֤א הִגִּיד֙ לְאָבִ֣יו וּלְאִמּ֔וֹ אֵ֖ת אֲשֶׁ֥ר 'אאא' עָשָֽׂה׃,145B
וַיַּ֨ךְ אוֹתָ֥ם שׁ֛וֹק עַל־יָרֵ֖ךְ מַכָּ֣ה גְדוֹלָ֑ה וַיֵּ֣רֶד וַיֵּ֔שֶׁב 'אאא' בִּסְעִ֖יף סֶ֥לַע עֵיטָֽם׃ ,146A
וַתֹּ֤אמֶר דְּלִילָה֙ אֶל־שִׁמְשׁ֔וֹן 'אאא' הִנֵּה֙ הֵתַ֣לְתָּ בִּ֔י וַתְּדַבֵּ֥ר אֵלַ֖י כְּזָבִ֑ים עַתָּה֙ הַגִּֽידָה־נָּ֣א לִ֔י בַּמֶּ֖ה תֵּאָסֵֽר׃,146B
וַיֹּ֣אמֶר שִׁמְשׁ֗וֹן תָּמ֣וֹת נַפְשִׁי֮ עִם־פְּלִשְׁתִּים֒ וַיֵּ֣ט בְּכֹ֔חַ וַיִּפֹּ֤ל הַבַּ֙יִת֙ עַל־הַסְּרָנִ֔ים וְעַל־כָּל־הָעָ֖ם אֲשֶׁר־ 'אאא' בּ֑וֹ וַיִּהְי֤וּ הַמֵּתִים֙ אֲשֶׁ֣ר הֵמִ֣ית בְּמוֹת֔וֹ רַבִּ֕ים מֵאֲשֶׁ֥ר הֵמִ֖ית בְּחַיָּֽיו׃,147A
וַיֵּלְכוּ֙ חֲמֵ֣שֶׁת הָאֲנָשִׁ֔ים וַיָּבֹ֖אוּ לָ֑יְשָׁה וַיִּרְא֣וּ אֶת־הָעָ֣ם אֲשֶׁר־בְּקִרְבָּ֣הּ יוֹשֶֽׁבֶת־לָ֠בֶטַח כְּמִשְׁפַּ֨ט צִדֹנִ֜ים שֹׁקֵ֣ט ׀ וּבֹטֵ֗חַ וְאֵין־מַכְלִ֨ים דָּבָ֤ר בָּאָ֙רֶץ֙ יוֹרֵ֣שׁ עֶ֔צֶר וּרְחֹקִ֥ים הֵ֙מָּה֙ מִצִּ֣דֹנִ֔ים 'אאא' וְדָבָ֥ר אֵין־לָהֶ֖ם עִם־אָדָֽם׃,147B
וַיִּקְרְא֤וּ שֵׁם־הָעִיר֙ דָּ֔ן בְּשֵׁם֙ דָּ֣ן אֲבִיהֶ֔ם אֲשֶׁ֥ר יוּלַּ֖ד 'אאא' לְיִשְׂרָאֵ֑ל וְאוּלָ֛ם לַ֥יִשׁ שֵׁם־הָעִ֖יר לָרִאשֹׁנָֽה׃,148A
וַיֹּ֨אמֶר הָאִ֤ישׁ הַזָּקֵן֙ שָׁל֣וֹם לָ֔ךְ רַ֥ק כָּל־מַחְסוֹרְךָ֖ עָלָ֑י רַ֥ק בָּרְח֖וֹב אַל־ 'אאא' תָּלַֽן׃,148B
וַיֵּֽאָסֵ֞ף כָּל־אִ֤ישׁ יִשְׂרָאֵל֙ אֶל־הָעִ֔יר כְּאִ֥ישׁ אֶחָ֖ד 'אאא' חֲבֵרִֽים׃,149A
וַיָּבֹאוּ֩ מִנֶּ֨גֶד לַגִּבְעָ֜ה עֲשֶׂרֶת֩ אֲלָפִ֨ים אִ֤ישׁ בָּחוּר֙ 'אאא' מִכָּל־יִשְׂרָאֵ֔ל וְהַמִּלְחָמָ֖ה כָּבֵ֑דָה וְהֵם֙ לֹ֣א יָדְע֔וּ כִּֽי־נֹגַ֥עַת עֲלֵיהֶ֖ם הָרָעָֽה׃,149B
וַיִּתְפָּקֵ֖ד הָעָ֑ם וְהִנֵּ֤ה אֵֽין־שָׁם֙ 'אאא' אִ֔ישׁ מִיּוֹשְׁבֵ֖י יָבֵ֥שׁ גִּלְעָֽד׃,150A
,150A
וְכֵ֨ן יַעֲשֶׂ֜ה שָׁנָ֣ה בְשָׁנָ֗ה מִדֵּ֤י עֲלֹתָהּ֙ בְּבֵ֣ית 'אאא' יְהוָ֔ה כֵּ֖ן תַּכְעִסֶ֑נָּה וַתִּבְכֶּ֖ה וְלֹ֥א תֹאכַֽל׃,150B
שְׂבֵעִ֤ים בַּלֶּ֙חֶם֙ נִשְׂכָּ֔רוּ וּרְעֵבִ֖ים חָדֵ֑לּוּ עַד־עֲקָרָה֙ 'אאא' יָלְדָ֣ה שִׁבְעָ֔ה וְרַבַּ֥ת בָּנִ֖ים אֻמְלָֽלָה׃,151A
לָכֵ֗ן נְאֻם־יְהוָה֮ אֱלֹהֵ֣י יִשְׂרָאֵל֒ אָמ֣וֹר 'אאא' אָמַ֔רְתִּי בֵּֽיתְךָ֙ וּבֵ֣ית אָבִ֔יךָ יִתְהַלְּכ֥וּ לְפָנַ֖י עַד־עוֹלָ֑ם וְעַתָּ֤ה נְאֻם־יְהוָה֙ חָלִ֣ילָה לִּ֔י כִּֽי־מְכַבְּדַ֥י אֲכַבֵּ֖ד וּבֹזַ֥י יֵקָֽלּוּ׃,151B
וַיִּגְדַּ֖ל שְׁמוּאֵ֑ל וַֽיהוָה֙ הָיָ֣ה עִמּ֔וֹ 'אאא' וְלֹֽא־הִפִּ֥יל מִכָּל־דְּבָרָ֖יו אָֽרְצָה׃,152A
וּכְעֵ֣ת מוּתָ֗הּ וַתְּדַבֵּ֙רְנָה֙ הַנִּצָּב֣וֹת עָלֶ֔יהָ אַל־תִּֽירְאִ֖י כִּ֣י בֵ֣ן יָלָ֑דְתְּ וְלֹ֥א 'אאא' עָנְתָ֖ה וְלֹא־שָׁ֥תָה לִבָּֽהּ׃,152B
וְעַתָּ֗ה קְח֨וּ וַעֲשׂ֜וּ עֲגָלָ֤ה חֲדָשָׁה֙ אֶחָ֔ת וּשְׁתֵּ֤י פָרוֹת֙ עָל֔וֹת אֲשֶׁ֛ר לֹא־ 'אאא' עָלָ֥ה עֲלֵיהֶ֖ם עֹ֑ל וַאֲסַרְתֶּ֤ם אֶת־הַפָּרוֹת֙ בָּעֲגָלָ֔ה וַהֲשֵׁיבֹתֶ֧ם בְּנֵיהֶ֛ם מֵאַחֲרֵיהֶ֖ם הַבָּֽיְתָה׃,153A
וַיָּסִ֙ירוּ֙ בְּנֵ֣י יִשְׂרָאֵ֔ל אֶת־הַבְּעָלִ֖ים 'אאא' וְאֶת־הָעַשְׁתָּרֹ֑ת וַיַּעַבְד֥וּ אֶת־יְהוָ֖ה לְבַדּֽוֹ׃,153B
וַיֹּ֕אמֶר זֶ֗ה יִֽהְיֶה֙ מִשְׁפַּ֣ט הַמֶּ֔לֶךְ אֲשֶׁ֥ר יִמְלֹ֖ךְ עֲלֵיכֶ֑ם אֶת־ 'אאא' בְּנֵיכֶ֣ם יִקָּ֗ח וְשָׂ֥ם לוֹ֙ בְּמֶרְכַּבְתּ֣וֹ וּבְפָרָשָׁ֔יו וְרָצ֖וּ לִפְנֵ֥י מֶרְכַּבְתּֽוֹ׃,154A
כְּבֹאֲכֶ֣ם הָעִ֣יר כֵּ֣ן תִּמְצְא֣וּן אֹת֡וֹ בְּטֶרֶם֩ יַעֲלֶ֨ה הַבָּמָ֜תָה לֶאֱכֹ֗ל כִּ֠י לֹֽא־יֹאכַ֤ל הָעָם֙ עַד־בֹּא֔וֹ כִּ֥י הוּא֙ יְבָרֵ֣ךְ הַזֶּ֔בַח אַחֲרֵי־כֵ֖ן יֹאכְל֣וּ הַקְּרֻאִ֑ים וְעַתָּ֣ה עֲל֔וּ כִּֽי־אֹת֥וֹ כְהַיּ֖וֹם 'אאא' תִּמְצְא֥וּן אֹתֽוֹ׃,154B
וְצָלְחָ֤ה עָלֶ֙יךָ֙ ר֣וּחַ יְהוָ֔ה וְהִתְנַבִּ֖יתָ 'אאא' עִמָּ֑ם וְנֶהְפַּכְתָּ֖ לְאִ֥ישׁ אַחֵֽר׃,155A
וַיֹּאמְר֨וּ אֵלָ֜יו זִקְנֵ֣י יָבֵ֗ישׁ הֶ֤רֶף לָ֙נוּ֙ שִׁבְעַ֣ת יָמִ֔ים וְנִשְׁלְחָה֙ 'אאא' מַלְאָכִ֔ים בְּכֹ֖ל גְּב֣וּל יִשְׂרָאֵ֑ל וְאִם־אֵ֥ין מוֹשִׁ֛יע אֹתָ֖נוּ וְיָצָ֥אנוּ אֵלֶֽיךָ׃,155B
